,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
16,90,US,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Siena,88,23.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano
17,92,US,"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",Magnificat,88,55.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan
18,94,US,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Grand Klasse Reserve Lawrence Vineyards,88,22.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård
19,99,US,"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",Intreccio Library Selection,88,75.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
20,108,US,"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",J.D. Hurley,87,26.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
21,111,US,"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",Wolff Vineyard,87,85.0,California,Yountville,Napa,Virginie Boone,@vboone,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña
22,114,US,"Tar, dried meat, olallieberry and sharp cedar aromas show on this blend of 51% Cabernet Sauvignon and 49% Merlot. Dried strawberries and plums mix with thyme and dried rose petals on the palate.",BDX,87,18.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
23,116,US,"The distinctive nose on this bottling is tight yet tropical, with mango, pineapple, pear skins, orange rinds, dried lime peels and a gin-like juniper all converging. The palate offers a balance between tightly woven texture and ripe tropicality, with lime rinds, mango and petrol touches.",Camp 4 Vineyard,87,25.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
24,144,US,"Thick and brooding, this dark, sweetly tannic wine also offers higher-toned elements of cedar, dried herb and graphite. It finds its balance amid a full-bodied density of fruit concentration and girth of structure. Drink now through 2023.",K Block,91,85.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
25,145,US,"Cooked cranberry is spiced with anise, peppercorn and roasted beef slices on this bottling from a vineyard planted by three brothers who are longtime Salinas Valley farmers. The palate shows dark cranberry and raspberry, spiced up by chopped sage, thyme and bay leaf.",Guidotti Vineyard,91,64.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
26,146,US,"There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. The palate blends a gamy beef quality with oregano, marjoram, cooked strawberry, baked blackberry and a sesame-oil character.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
27,147,US,"Black cherry, black plum and black currant are integrated well into the fresh dill and smoke scents on the nose of this wine from one of the region's newest properties. It discloses a rich dark-chocolate sauce character on the palate as well as black-currant-jelly flavors, but most impressive is the lush, sexy and soft mouthfeel.",Family Reserve,91,68.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
28,149,US,"Smashed blackberry and blueberry fruit are enhanced by burned caramel, heavy slate and touches of soy and smoke on the nose. There's great depth in both body and flavors once sipped, with a layer of fine-grained tannins revealing teriyaki, black plum, boysenberry and touches of lavender.",Destruction Level,91,35.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath
29,150,US,"This wine shows off Yountville fruit at its finest, starting with a floral component to the nose. Spicy, bright and lifted, it coats the palate in ripe berry and cherry, ending with a snap of vanilla.",Ruth's Reach,91,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
30,152,US,"From a promising new project, the nose of this wine is linear and focused, with black raspberry, black licorice, cola, wet sagebrush and rain-on-slate scents. The tactile acidity once sipped creates a fascinating soft buzz on the tongue, with flavors of dried mint, brisk raspberry and cherry tomato. Camphor and eucalyptus add intrigue on the finish.",Estate Reserve,91,55.0,California,Carmel Valley,Central Coast,Matt Kettmann,@mattkettmann,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge
31,153,US,"Dark and thick in the glass, this wine shows strong but not bitter tar notes on the nose plus charred beef in a blueberry glaze, wet campfire, bourbon barrel and vanilla. The structure is massive now, gooey with thick tannins and flavors of espresso bean and condensed purple flowers. Judicious acidity ensures strong cellaring potential. Drink 2018–2027.",Old 900,91,46.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina
32,161,US,"A hearty blend of 76% Zinfandel and 24% Petite Sirah, this bottling packs a wallop of cinnamon-stick on the nose as well as strawberry puree, licorice and black pepper. Clove, allspice, and nutmeg arise immediately on the sip, backed by baked plum and bay leaf notes.",Mr. Nibbles,91,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars
33,162,US,"More complex than the winery's appellation blend, yet also requiring time to reach full potential, this shows delicate lemon slices, honeysuckle, surf wax, pink grapefruit and a touch of coconut on the nose. The palate is grippy in texture and sizzling with mouthwatering acidity, offering lemon rind, grapefruit spritz and petrol flavors. Expect inviting nut and honey-dust flavors to emerge. Drink 2018–2034.",Claiborne Vineyard,91,28.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill
34,168,US,"A fairly elegant expression of the variety, this wine is bright in cherry kirsch and pretty aromas of rose petal and lavender, structured to age and enjoy with food. Rector Creek Vineyard is just north of Yountville and planted in rocky alluvial soils. Drink now through 2022.",Rector Creek Vineyard,91,95.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn
35,169,US,"This wine is put together from multiple vineyard sources, including the well-known Morelli Lane and Widdoes, all farmed by the Duttons. Larger in production than many of the vineyard-designates, it offers baked bread and juicy overtones of cranberry-raspberry layered atop luxuriously toasted oak. It'll show well at the table.",Dutton Ranch,91,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
36,198,US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",Four Soil Mélange,90,60.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum
37,199,US,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",Rising Starr Estate Bottled,90,28.0,California,Nevada County,Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr
38,204,US,"This bottling belongs to a series of wines from the legendary Jerry Lohr emphasizing Rhône varieties. It shows candied blackberry, violets and potpourri on the fruity, flowery and inviting nose. The palate leads with savory black pepper, which accents its core of black plum, blackberry and purple flower flavors.",Gesture,90,30.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr
39,205,US,"Rich honeysuckle, marzipan and oak aromas meet bright lemongrass on the nose of this bottling, showing both the fresh and oxidative sides of the grape. Smoked chicken and brioche notes are prominent on the palate, leading to a tangy, botanical, juniper-laced finish.",October Night,90,25.0,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr
40,207,US,"Juicy and austere in understated waves of cranberry and cherry fruit, this wine delivers subtle power and intensity in a leathery-textured package. True to its old vine heritage, it shows a dry dustiness of peppery spice.",Home Ranch Teldeschi Vineyards Century Old Vine,90,32.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery
41,213,US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",1105,90,48.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,MCV 2014 1105 Red (Paso Robles),Red Blend,MCV
42,214,US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",Verah,90,36.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts
43,233,US,"There is an odd, piercing edge to the aromas, a mix of acetic acid and pungent herb, with a hint of diesel. Somehow it's not off-putting, just atypical. The light, tart fruit is a mix of rhubarb and cranberry, very earthy and tasting of dirt and bark in the finish. This could be quite pleasant with a hearty, rustic dish such as beef Bourgogne.",Reserve,85,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
44,248,US,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",Estate Single Vineyard,85,45.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity
45,251,US,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",Papillon Estate,85,22.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill
46,260,US,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",Estate,89,40.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards
47,262,US,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",Fairytale,89,39.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Beaver Creek 2008 Fairytale Red (Napa Valley),Red Blend,Beaver Creek
48,283,US,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Bella Vida Vineyard Unfiltered,92,52.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher
49,301,US,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",Whiteline No Oak,87,14.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane
50,341,US,"Plummy and hinting at black cherry, this wine is otherwise soft and simple, with a distracting, full-throttled descent into raisin cake and prune.",Serracino Reserve,82,48.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
51,352,US,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",South River,96,68.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli
52,355,US,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",Sweetwater,96,68.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli
53,362,US,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",Jamie,95,200.0,California,Diamond Mountain District,Napa,Virginie Boone,@vboone,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies
54,364,US,"For 2014, the Weber is the star of a very fine Winderlea lineup. Dark and deeply concentrated, it's jammed with black cherry fruit, annotated with anise and showing a hint of gunmetal. The tannins are ripe and taste of clean earth. This is a fine candidate for aging. Drink now through 2030.",Weber Vineyard,95,48.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea
55,388,US,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",Paragon Vineyard,88,25.0,California,Edna Valley,Central Coast,Roger Voss,@vossroger,Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi
56,409,US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",Dry,85,20.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,McGregor 2007 Dry Gewürztraminer (Finger Lakes),Gewürztraminer,McGregor
57,421,US,"All varietal, this wine is a blend of fruit from top sites Ciel du Cheval, Conner Lee, Obelisco and Stonetree. The aromas are quite reserved, with notes of barrel spice that are followed by full-bodied fruit flavors with a spicy finish. It drinks well but the variety seems lost.",Confidential Source,89,30.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Guardian 2013 Confidential Source Merlot (Columbia Valley (WA)),Merlot,Guardian
58,422,US,"The light aromas suggest notes of star fruit and citrus. The palate is flavorful, with racy acids keeping the fruit in focus.",Blue Mountain Vineyard,89,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Kerloo 2015 Blue Mountain Vineyard Grenache Blanc (Walla Walla Valley (WA)),Grenache Blanc,Kerloo
59,424,US,"This wine is dry and rather full bodied, starting with fruity aromas like banana and coconut then seguing to more nutty, oaky, complex flavors and a rich texture. It's a serious dinner wine with heft and substance.",Verdigris,89,30.0,California,California,California Other,Jim Gordon,@gordone_cellars,Las Positas 2014 Verdigris White (California),White Blend,Las Positas
60,429,US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",The Estates Clifton Hill Vineyard,89,42.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Syrah,Milbrandt
61,430,US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",McGinley Vineyard,89,30.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Ojai
62,431,US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",Indie,89,24.0,California,Templeton Gap District,Central Coast,Matt Kettmann,@mattkettmann,ONX 2015 Indie Tempranillo (Templeton Gap District),Tempranillo,ONX
63,432,US,"The aromas of whole lime, flowers, jasmine and watermelon Jolly Rancher pop. It drinks off dry, with floral flavors that carry through the finish.",Upland Vineyard,89,16.0,Washington,Snipes Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Riesling,Pomum
64,433,US,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",Stepping Stones,89,27.0,California,Santa Barbara County,Central Coast,Jim Gordon,@gordone_cellars,Prospect 772 2014 Stepping Stones Grenache Blanc (Santa Barbara County),Grenache Blanc,Prospect 772
65,437,US,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",Henry's Blend,89,54.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Trione 2012 Henry's Blend Red (Alexander Valley),Bordeaux-style Red Blend,Trione
66,443,US,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",Estate Grown,88,32.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Dunbar 2012 Estate Grown Zinfandel (Sonoma Valley),Zinfandel,Dunbar
67,460,US,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",Ridgecrest Vineyards,92,50.0,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Pinot Noir,Chehalem
68,461,US,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Stoller Vineyards,92,29.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Pinot Blanc,Chehalem
69,467,US,"Dense, dark and spicy, this opens with a thicket of briar and bramble—one almost wants to say thistle—wrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",Evenstad Reserve,92,65.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene
